Model,Event_Type,Basin_Name,Mean_Delta_Total,Mean_Delta_CC,Mean_Delta_HA,Mean_Abs_Delta_CC,Mean_Abs_Delta_HA,DIndex,Residual,Valid_Grid_Count
hydropy,Flood,SWRB,-0.0724663149003991,-0.07139747284632963,-0.0010688420540694876,0.1195544451447839,0.005234220237324401,0.9580553232034577,1.6046192152785466e-17,312
hydropy,Flood,YHH,0.015010837496653212,0.008758018830161638,0.006252818666491572,0.09458282551192289,0.06759987371618577,0.5831868994786732,1.734723475976807e-18,576
hydropy,Flood,YZR,-0.0069226982816435806,-0.004350563515263333,-0.002572134766380246,0.06929279214683567,0.016320445965512773,0.8093700655955123,-1.734723475976807e-18,672
jules-w2,Drought,CSL,0.15895581818895113,0.19643076996461603,-0.03747495177566489,0.8447908245502015,0.09831125656965638,0.8957575658693069,-6.938893903907228e-18,1475
jules-w2,Drought,PSE,-0.07164132087905116,-0.07054729576767053,-0.001094025111380637,0.14237025430406378,0.008606356218927363,0.9429954336031623,1.1492543028346347e-17,271
jules-w2,Drought,SWRB,0.1522828953640571,0.15004642652705927,0.0022364688369978457,0.28082913029263923,0.024695410226483624,0.9191704529380089,-2.211772431870429e-17,314
jules-w2,Drought,YHH,-0.10894154568555377,-0.11087866386006481,0.0019371181745110654,0.15091034111646964,0.029149655406636873,0.8381114296928458,-1.929879867024198e-17,568
jules-w2,Drought,YZR,-0.0527905965074089,-0.05249331767324702,-0.00029727883416187076,0.16385922895328772,0.017147745443697293,0.9052647252912542,-1.2685165418080402e-17,675
jules-w2,Flood,CSL,0.013076983902152,0.012172257600178399,0.0009047263019736011,0.13894664579856603,0.02517729854086605,0.8465958234052933,-6.505213034913027e-19,1475
jules-w2,Flood,PSE,0.0026666346798732417,0.0029788395812614375,-0.000312204901388196,0.04929888424897518,0.005667464618204324,0.896892103350376,2.168404344971009e-19,271
jules-w2,Flood,SWRB,-0.03224086036302257,-0.03175104626428992,-0.0004898140987326526,0.14424726318959277,0.027600252806514812,0.8393910284560646,4.336808689942018e-19,314
jules-w2,Flood,YHH,0.021252419715212436,0.022306970957063285,-0.0010545512418508535,0.06439019936044449,0.016687436233215794,0.7941795402514101,4.336808689942018e-18,568
jules-w2,Flood,YZR,0.008391039483868443,0.008523055526624168,-0.0001320160427557246,0.07136177063004374,0.0120201042449035,0.8558427204601627,-1.3552527156068805e-19,675
lpjml5-7-10-fire,Drought,CSL,0.06950004405982556,-0.005013166621184406,0.07451321068100995,0.22369062316781677,0.22836941330245977,0.49482503455605653,1.3877787807814457e-17,1208
lpjml5-7-10-fire,Drought,PSE,-0.061185901165236416,-0.038388282060073234,-0.022797619105163182,0.10703804293667418,0.07349787852587007,0.5928905564584903,0.0,271
lpjml5-7-10-fire,Drought,SWRB,0.18303151136312198,0.1780153109695096,0.005016200393612397,0.2417693230954228,0.08735914795668542,0.7345743208497616,-6.071532165918825e-18,176
lpjml5-7-10-fire,Drought,YHH,0.03413294247831236,-0.0654746777750719,0.09960762025338425,0.15868670548824046,0.2724218478680428,0.368089902770025,1.3877787807814457e-17,543
lpjml5-7-10-fire,Drought,YZR,-0.05601498061423782,-0.013605208301618654,-0.04240977231261917,0.11700380432386333,0.13410800389890437,0.46594305999368324,6.938893903907228e-18,589
lpjml5-7-10-fire,Flood,CSL,0.0012855474280354853,0.02299264457012186,-0.021707097142086372,0.13570142013987052,0.11283368037621157,0.5460050506270024,0.0,1208
lpjml5-7-10-fire,Flood,PSE,0.010674903299615861,0.006029225150355352,0.004645678149260511,0.053810443074330035,0.033638091330622365,0.6153384209407932,-2.6020852139652106e-18,271
lpjml5-7-10-fire,Flood,SWRB,-0.06909187420811945,-0.06200672529577907,-0.007085148912340374,0.1179864891829268,0.06159677493359156,0.657001585105247,-9.540979117872439e-18,176
lpjml5-7-10-fire,Flood,YHH,0.0006227118058682971,0.0020838221676273304,-0.0014611103617590319,0.07843164466798934,0.09646830638445192,0.44843720193193604,-1.3010426069826053e-18,543
lpjml5-7-10-fire,Flood,YZR,0.0041991566498524955,-0.00417868386299404,0.008377840512846537,0.07069669214717259,0.060332677271548396,0.5395484421607215,-1.734723475976807e-18,589
miroc-integ-land,Drought,CSL,0.20401466095821258,0.220894566871883,-0.016879905913670345,0.4680894404424879,0.08143248136142749,0.8518121331827689,-7.28583859910259e-17,1987
miroc-integ-land,Drought,PSE,0.04631662959438216,0.015655555685806847,0.030661073908575313,0.1539124692016625,0.13300942388004658,0.5364263686836598,0.0,271
miroc-integ-land,Drought,SWRB,3.2043468885726223,3.206487089109768,-0.0021402005371458773,3.267117361966722,0.08680899857558019,0.9741172019765086,6.852157730108388e-17,314
