Model,Event_Type,Basin_Name,Mean_Delta_Total,Mean_Delta_CC,Mean_Delta_HA,Mean_Abs_Delta_CC,Mean_Abs_Delta_HA,DIndex,Residual,Valid_Grid_Count
watergap2-2e,Flood,PSE,0.007224948432836475,0.0007902364879400906,0.006434711944896385,0.05391845279407789,0.03310020780172248,0.6196194290386499,-8.673617379884035e-19,271
watergap2-2e,Flood,SWRB,-0.04735681814289166,-0.05748757250677476,0.010130754363883096,0.11582722752723458,0.019037699234922125,0.858838767854771,6.938893903907228e-18,314
watergap2-2e,Flood,YHH,0.014653068318034992,0.0008693257765401206,0.013783742541494871,0.12083784612349369,0.1014151270777904,0.5436950713548229,0.0,574
watergap2-2e,Flood,YZR,0.002408226473382374,-0.013720275635795372,0.016128502109177743,0.06992500787567457,0.026719244503226956,0.7235299167251869,3.469446951953614e-18,675
web-dhm-sg,Drought,CSL,0.022769962675066924,0.010373162998605405,0.012396799676461507,0.2515283689270853,0.12345765036178817,0.670767324616757,1.214306433183765e-17,647
web-dhm-sg,Drought,PSE,0.0029472437578729237,0.006456758843388177,-0.0035095150855152506,0.11769906032948882,0.029839878203720714,0.7977491332093049,-2.6020852139652106e-18,238
web-dhm-sg,Drought,SWRB,0.18282290361532166,0.15980349515081319,0.023019408464508492,0.22794393424892603,0.06348747042677118,0.7821529546638271,-1.3877787807814457e-17,133
web-dhm-sg,Drought,YHH,0.019626323391873403,0.0097714555702539,0.009854867821619496,0.16690698755651975,0.10593080398379705,0.6117443870742378,6.938893903907228e-18,292
web-dhm-sg,Drought,YZR,0.018277936596141763,0.02633331519749664,-0.008055378601354876,0.12472622841443708,0.04671774584740037,0.7275042995908927,-1.734723475976807e-18,532
web-dhm-sg,Flood,CSL,-0.02097950381685687,-0.022188620108281636,0.0012091162914247735,0.13438338111928805,0.07973463185526444,0.627613619482165,-7.589415207398531e-18,647
web-dhm-sg,Flood,PSE,-0.004274985228079318,-0.005741235450418223,0.0014662502223389004,0.0633579227457124,0.01654731012055181,0.7929133108435249,4.336808689942018e-18,239
web-dhm-sg,Flood,SWRB,-0.073237465567188,-0.0516515568170851,-0.0215859087501029,0.12890274805076804,0.05059769270049528,0.7181193957589813,-3.469446951953614e-18,133
web-dhm-sg,Flood,YHH,-0.00565820832517465,0.0012532024175499154,-0.006911410742724567,0.09904213166289506,0.06578293970337767,0.6008923936262377,1.734723475976807e-18,292
web-dhm-sg,Flood,YZR,-0.01573286945611472,-0.02585001549695949,0.010117146040844776,0.0774639423916683,0.03621527024475325,0.6814257470221932,-3.469446951953614e-18,532
