Model,Event_Type,Basin_Name,Mean_Delta_Total,Mean_Delta_CC,Mean_Delta_HA,Mean_Abs_Delta_CC,Mean_Abs_Delta_HA,DIndex,Residual,Valid_Grid_Count
lpjml5-7-10-fire,Drought,SWRB,0.20331658816113646,0.17696358693404327,0.026353001227093182,0.24193933109351326,0.092891035768268,0.7225728459491441,1.0408340855860843e-17,194
lpjml5-7-10-fire,Drought,YHH,0.06766727873679662,-0.03549072773688972,0.10315800647368636,0.15936401567160244,0.2542175395084354,0.38532669959671934,-2.7755575615628914e-17,544
lpjml5-7-10-fire,Drought,YZR,-0.05335634283904931,-0.002464342883134711,-0.050891999955914584,0.12581406576470938,0.1342824627296203,0.48372066514318063,-1.3877787807814457e-17,594
lpjml5-7-10-fire,Flood,CSL,0.07146891235273772,0.07314417124999614,-0.0016752588972584325,0.14254826072198834,0.11821187193271677,0.5466643204647726,1.3227266504323154e-17,1385
lpjml5-7-10-fire,Flood,PSE,0.00700847375491916,0.006784255989206115,0.00022421776571304128,0.06795842676740303,0.03996629593723321,0.6296835893050079,3.415236843329339e-18,271
lpjml5-7-10-fire,Flood,SWRB,0.11104434110770622,0.07262284625358151,0.03842149485412472,0.14033109950184283,0.06767483713398297,0.6746494920841264,-6.938893903907228e-18,194
lpjml5-7-10-fire,Flood,YHH,0.03501418071206524,0.012118314127415462,0.022895866584649767,0.09489296830025021,0.1346903489086262,0.4133269326965773,1.0408340855860843e-17,547
lpjml5-7-10-fire,Flood,YZR,0.03341793876324128,0.021186925777782577,0.012231012985458712,0.0977425674499014,0.08101121098668508,0.546800007836343,-1.214306433183765e-17,594
miroc-integ-land,Drought,CSL,-0.01894472691446316,0.020540740736079376,-0.03948546765054254,0.3456795043796323,0.11458839165992275,0.7510397908567685,6.938893903907228e-18,1884
miroc-integ-land,Drought,PSE,0.02316610716033007,0.0476934762025273,-0.02452736904219722,0.1915958166293174,0.17627837217399142,0.5208188627002529,-6.938893903907228e-18,271
miroc-integ-land,Drought,SWRB,0.8592080499840157,0.8635271981421232,-0.004319148158107693,1.2299892942714936,0.13065887783986882,0.9039730618701225,1.708702623837155e-16,251
