Grid_ID,Lon,Lat,Event_Type,Delta_Total_mean_ScenarioSpecific,Delta_HA_mean_ScenarioSpecific,Delta_CC_mean_ScenarioSpecific,Delta_Total_mean_CommonReference,Delta_HA_mean_CommonReference,Delta_CC_mean_CommonReference
993,120.25,50.75,Drought,-0.2254743172525262,0.033676278912738,-0.2591505961652642,-0.2113120187580874,-0.0308019597784118,-0.1805100589796756
994,120.75,50.75,Drought,-0.1530471058255648,0.0141354912907138,-0.1671825971162787,-0.081644506460149,0.009406343765883,-0.0910508502260321
995,121.25,50.75,Drought,-0.1878963044441257,0.0434194474208486,-0.2313157518649744,-0.1070099584381388,0.0267931108364624,-0.1338030692746013
996,121.75,50.75,Drought,-0.1797632357934491,0.0772689515551046,-0.2570321873485537,-0.1211176362187485,-0.0054184575061947,-0.1156991787125538
997,122.25,50.75,Drought,-0.1432029898807855,0.0151057123773681,-0.1583087022581537,-0.1573050092229787,0.0170547867635336,-0.1743597959865124
998,122.75,50.75,Drought,-0.2376856136098379,0.037466459328056,-0.2751520729378939,-0.1561885785202794,0.0153873891019154,-0.1715759676221948
999,123.25,50.75,Drought,-0.2344360877114197,0.0029679313676142,-0.237404019079034,-0.0894375386707408,0.0117483064478431,-0.1011858451185839
1000,123.75,50.75,Drought,-0.303229755628018,-0.004919144540348,-0.2983106110876699,-0.2486391565720014,0.0027988543103145,-0.251438010882316
1001,124.25,50.75,Drought,-0.2416916725722377,0.0039622208648159,-0.2456538934370537,-0.1830534005053756,0.0012340756561128,-0.1842874761614885
1002,124.75,50.75,Drought,-0.1899726165134451,0.0090913581883558,-0.1990639747018009,-0.1257465503999259,0.0165625964671674,-0.1423091468670934
1003,125.25,50.75,Drought,-0.2027399351933248,0.0384923871126725,-0.2412323223059973,-0.1580862455898973,0.0090752362529887,-0.1671614818428861
1004,125.75,50.75,Drought,-0.2009539627134214,0.0057674505189977,-0.2067214132324191,-0.2171798034491738,-0.046736323135283,-0.1704434803138907
1005,126.25,50.75,Drought,-0.2623020902715435,-0.0083444230971014,-0.2539576671744421,-0.2084156428741691,0.0144233094860547,-0.2228389523602238
1006,126.75,50.75,Drought,-0.283273554490466,-0.0195499104676025,-0.2637236440228634,-0.3081778049765475,0.0111288192445137,-0.3193066242210613
1120,119.75,50.25,Drought,-0.0305691166410176,0.0783565825237588,-0.1089256991647765,-0.1824328879619205,0.0408633897752329,-0.2232962777371534
1121,120.25,50.25,Drought,-0.1495204857223287,-0.0553379793029821,-0.0941825064193466,-0.1357267279200749,-0.14807122580847,0.0123444978883951
